time,wall_distance,desired_velocity,actual_velocity,desired_heading,control_variable
0.0,1.0,5.0,0.0,-2.0,-0.4
0.01,1.0,5.0,0.0,-2.0,-0.4
0.02,1.0,5.0,0.0,-2.0,-0.4
0.03,1.0,5.0,0.0,-2.0,-0.4
0.04,1.0,5.0,0.0,-2.0,-0.4
0.05,1.0,5.0,0.0,-2.0,-0.4
0.06,1.0,5.0,0.0,-2.0,-0.4
0.07,1.0,5.0,0.0,-2.0,-0.4
0.08,1.0,5.0,0.0,-2.0,-0.4
0.09,1.0,5.0,0.0,-2.0,-0.4
0.1,1.0,5.0,0.0,-2.0,-0.4
0.11,1.0,5.0,0.0,-2.0,-0.4
0.12,1.0,5.0,0.0,-2.0,-0.4
0.13,1.0,5.0,0.0,-2.0,-0.4
0.14,1.0,5.0,0.0,-2.0,-0.4
0.15,1.0,4.78,0.0,-2.0,-0.4
0.16,1.0,4.57,0.0,-2.0,-0.4
0.17,1.0,4.35,0.0,-2.0,-0.4
0.18,1.0,4.13,0.0,-2.0,-0.4
0.19,1.0,3.91,0.0,-2.0,-0.4
0.2,1.0,3.7,0.0,-2.0,-0.4
0.21,1.0,3.48,0.0,-2.0,-0.4
0.22,1.0,3.26,0.0,-2.0,-0.4
0.23,1.0,3.04,0.0,-2.0,-0.4
0.24,1.0,2.83,0.0,-2.0,-0.4
0.25,1.0,2.61,0.0,-2.0,-0.4
0.26,1.0,2.39,0.0,-2.0,-0.4
0.27,1.0,2.17,0.0,-2.0,-0.4
0.28,1.0,1.96,0.0,-2.0,-0.4
0.29,1.0,1.74,0.0,-2.0,-0.4
0.3,1.0,1.52,0.0,-2.0,-0.4
0.31,1.0,1.3,0.0,-2.0,-0.4
0.32,1.0,1.09,0.0,-2.0,-0.4
0.33,1.0,0.87,0.0,-2.0,-0.4
0.34,1.0,0.65,0.0,-2.0,-0.4
0.35,1.0,0.43,0.0,-2.0,-0.4
0.36,1.0,0.22,0.0,-2.0,-0.4
0.37,1.0,0.0,0.0,-2.0,-0.4
0.38,1.0,0.0,0.0,-2.0,-0.4
0.39,1.0,0.0,0.0,-2.0,-0.4
0.4,1.0,0.0,0.0,-2.0,-0.4
0.41,1.0,0.0,0.0,-2.0,-0.4
0.42,1.0,0.0,0.0,-2.0,-0.4
0.43,1.0,0.0,0.0,-2.0,-0.4
0.44,1.0,0.0,0.0,-2.0,-0.4
0.45,1.0,0.0,0.0,-2.0,-0.4
0.46,1.0,0.0,0.0,-2.0,-0.4
0.47,1.0,0.0,0.0,-2.0,-0.4
0.48,1.0,0.0,0.0,-2.0,-0.4
0.49,1.0,0.0,0.0,-2.0,-0.4
0.5,1.0,0.0,0.0,-2.0,-0.4
0.51,1.0,2.5,0.0,-2.0,-0.4
0.52,1.0,5.0,0.0,-2.0,-0.4
0.53,1.0,4.69,0.0,-2.0,-0.4
0.54,1.0,4.38,0.0,-2.0,-0.4
0.55,1.0,4.06,0.0,-2.0,-0.4
0.56,1.0,3.75,0.0,-2.0,-0.4
